ClusterA,module,complex_output,sequencer index,lo_freq (Hz),if (Hz),dc_mixer_offset_I,dc_mixer_offset_Q,mixer_amp_ratio,mixer_phase_error_deg
1,,,,,,,,,
2,,,,,,,,,
3,,,,,,,,,
4,,,,,,,,,
5,,,,,,,,,
6,module6,out0,0,3793740000,-100000000,-8.9746,-0.0724,0.9844,-23.81146
7,module7,out0,0,3441770000,-100000000,-10.3496,-7.2376,1.0111,-23.30484
8,module8,out0,0,3666900000,-100000000,-10.3497,-2.4246,0.9955,-10.63916
9,module9,out0,0,3406770000,-100000000,-10.6392,-10.1687,1.0188,-18.96232
10,module10,out0,0,3952580000,-100000000,-5.4282,-1.0132,0.986,-17.51481
11,,,,,,,,,
12,,,,,,,,,
13,,,,,,,,,
14,,,,,,,,,
15,,,,,,,,,
16,,,,,,,,,
17,module17,out0,0,6740000000,-100000000,-7.3461,-6.3329,1,0
